pot-pot.pot    1    4.461424620544        0.08744001149433     -0.4697131306436
cla-cla.pot    1    5.974015536521        0.07298202064276     -0.897468940392
cla-pot.pot    1    -5.1285414879760      8.0236522444260e-02   6.4569983202480e-01
aden-cla.pot   1    1.5693181924090e+00   8.7191649617100e-02  -1.0605129476030e-01 
aden-pot.pot   2   -3.2916165723080e-04   3.4985060502360e-02  -6.8303886085000e-01
cyto-cla.pot   1    5.8038284457100e+00   1.8516435859710e-02  -3.6300555573970e+00 
cyto-pot.pot   1    -2.9200317657420e+00  7.0448439140320e-02   5.1997729331440e-01 
guan-cla.pot   2    -9.4694819754550e-04  1.0176408067770e-01  -1.9038305409990e+00 
guan-pot.pot   2    1.1648206653640e-03   -6.6493629575290e-02  8.3885438960000e-01
pho-cla.pot    1    6.3397588301930e+00   6.4535244884300e-02  -1.1126466187220e+00
pho-pot.pot    1    -5.8016867732800e+00  5.6834720816520e-02   1.3504071233120e+00
suga-cla.pot   1    -6.4828014197970e-01  8.2186136033430e-02  -1.5661015253340e-02 
suga-pot.pot   2    -9.8092055675448e-04 -3.0192549031856e-03   6.2560355714799e-01 
thym-cla.pot   2    -1.3178248174660e-03  8.1947547246250e-02  -1.1616115821180e+00
thym-pot.pot   2    1.5423096119380e-03  -6.8841400120760e-02   7.1041074569990e-01
